TransactionID,TransactionDate,Amount,Currency,Country,Description,fa_key
AE5034E6B5CE8A39,2026-06-04,73092.01,JPY,DE,Processing charge,FA-003038
928A69D9FB9E3033,2026-06-30,80354.24,GBP,DE,Loan disbursement,FA-001127
701F2C674C36CB5D,2026-06-11,53114.95,INR,DE,Processing charge,FA-001004
BD87CA865057AB38,2026-06-30,93945.83,AUD,JP,Loan disbursement,FA-000915
EF35395EE804AA6F,2026-06-23,25378.24,USD,SG,Service fee - monthly,FA-000572
DEFA77DCC00E2BD2,2026-06-14,83422.2,EUR,US,Insurance premium,FA-003017
A018F390DD5BE9F8,2026-06-22,40376.59,USD,GB,Deposit interest,FA-000420
D8B174382BD04559,2026-06-23,8700.83,CAD,GB,Commission - trade,FA-002772
E215A020A7EF4AFD,2026-06-24,75606.92,GBP,IN,Interest income - Q1,FA-003034
64496D43F47155C8,2026-06-27,63138.91,GBP,US,Asset purchase,FA-002234
683B5CC3B8DC1C47,2026-06-02,92198.82,GBP,AU,FX settlement,FA-000357
759AE515E275E252,2026-06-18,18697.27,USD,AU,Revenue recognition,FA-002419
7966D455A4FECE86,2026-06-25,27008.89,AUD,SG,Service fee - monthly,FA-001729
2249B8F92AC01C25,2026-06-13,16617.51,USD,HK,FX settlement,FA-000131
3242D6B28C021863,2026-06-16,66876.17,CAD,FR,Commission - trade,FA-000123
65E654AD985AF0E2,2026-06-08,36975.97,CHF,CA,Service fee - monthly,FA-000384
9CEA23365A646D0F,2026-06-14,18033.66,AUD,HK,Payroll disbursement,FA-000896
D71A1DC059677F6C,2026-06-10,42555.2,EUR,SG,Insurance premium,FA-000953
8CBDF126CD10FB48,2026-06-20,72789.39,CAD,CH,Interest income - Q1,FA-002070
70D70956AC044674,2026-06-02,59617.72,CHF,US,Vendor payment,FA-002466
B311BA64FB3DDB87,2026-06-03,32725.86,USD,DE,Revenue recognition,FA-000109
FAE6F1EB60F4AED6,2026-06-04,79384.32,JPY,IN,Revenue recognition,FA-002299
8D3C57C6BC4A9EA4,2026-06-14,20792.71,AUD,HK,FX settlement,FA-000815
47CA13B39B976987,2026-06-18,1355.45,CHF,JP,Dividend payout,FA-002933
D2D78266A917F1B8,2026-06-10,29252.83,CHF,AU,Insurance premium,FA-002662
09256F0F873E29D1,2026-06-07,21209.18,EUR,SG,Refund - disputed txn,FA-002873
22CB66C69551EFC5,2026-06-18,53297.06,INR,CH,Tax withholding,FA-002233
C4E2D60DCAA19663,2026-06-01,61925.09,GBP,SG,Revenue recognition,FA-001719
8196092AAF09C683,2026-06-30,16221.63,CHF,FR,Loan disbursement,FA-000903
7B321097A7327ACD,2026-06-28,92022.65,GBP,FR,Insurance premium,FA-001840
B1BA6876CFE8B9FB,2026-06-15,48132.19,USD,IN,Subscription renewal,FA-002414
